Hedging Portfolio
Simulated Stock Price,Option Prices,Delta Value,Hedging Error,Stock to Buy,Risk Free Rate Borrow
100,4.39173,0.42872,0,42.872,-38.4803
101.708,5.12675,0.472174,0.0196764,48.024,-42.8972
102.667,5.55564,0.496356,0.0153753,50.9596,-45.404
101.578,4.99511,0.467338,-0.0619112,47.4714,-42.4763
98.9482,3.82365,0.397345,0.0245471,39.3166,-35.4929
98.3671,3.56467,0.381,-0.121732,37.4778,-33.9132
94.9949,2.39819,0.293577,0.00745417,27.8883,-25.4901
96.263,2.76049,0.323926,-0.00290021,31.1821,-28.4216
94.7735,2.27806,0.28508,0.0216952,27.0181,-24.74
94.2772,2.11239,0.271369,-0.00726842,25.5839,-23.4716
92.7022,1.6899,0.23253,0.0227292,21.556,-19.8661
92.7875,1.68502,0.232783,0.00779051,21.5993,-19.9143
93.9959,1.95654,0.259631,-0.0981257,24.4042,-22.4477
97.188,2.88119,0.339506,0.0290271,32.9959,-30.1147
97.198,2.85254,0.338335,0.0118351,32.8855,-30.0329
96.1111,2.46998,0.308063,0.0274845,29.6083,-27.1383
96.3554,2.51502,0.312906,0.0265065,30.1502,-27.6352
96.0412,2.38745,0.303022,-0.0226957,29.1026,-26.7151
94.1239,1.82647,0.25234,0.0252741,23.7512,-21.9247
94.2201,1.82329,0.252915,-0.00471972,23.8297,-22.0064
92.7201,1.44643,0.214973,0.010134,19.9323,-18.4859
93.8461,1.67651,0.239974,0.0246961,22.5206,-20.8441
93.7658,1.63046,0.236104,-0.048134,22.1384,-20.508
91.3579,1.10804,0.178662,0.0109116,16.3221,-15.2141
90.4873,0.940053,0.158533,0.0189459,14.3452,-13.4052
90.7191,0.956514,0.161252,0.0195117,14.6286,-13.6721
90.7904,0.947129,0.160691,0.0190938,14.5892,-13.642
90.6631,0.906223,0.15604,0.018044,14.1471,-13.2409
91.1206,0.958236,0.163431,0.00251756,14.8919,-13.9336
89.9063,0.755871,0.136997,-0.0114495,12.3168,-11.561
91.7217,1.01487,0.172081,0.0169646,15.7835,-14.7687
92.444,1.12073,0.186116,0.0216862,17.2053,-16.0846
92.2389,1.05926,0.17923,0.0029629,16.532,-15.4727
93.621,1.30246,0.209789,0.0229688,19.6406,-18.3382
93.2953,1.20933,0.199544,-0.00561943,18.6165,-17.4072
91.7931,0.913446,0.162527,0.0166046,14.9189,-14.0054
92.5484,1.0182,0.177205,0.020266,16.4001,-15.3819
93.1246,1.0985,0.18844,0.0234715,17.5484,-16.4499
92.9862,1.04731,0.182732,0.0190077,16.9915,-15.9442
92.4475,0.928276,0.167721,0.021716,15.5054,-14.5771
92.8372,0.970455,0.174312,0.0229452,16.1826,-15.2122
92.7257,0.926553,0.169202,-0.0642909,15.6893,-14.7628
95.4758,1.45469,0.237438,0.0124987,22.6695,-21.2149
96.6535,1.7197,0.269043,0.00121751,26.0039,-24.2842
98.1568,2.1205,0.313057,0.031735,30.7287,-28.6082
97.7442,1.95676,0.297731,0.00877833,29.1014,-27.1447
96.5263,1.58265,0.257789,-0.0306793,24.8834,-23.3008
98.6225,2.15136,0.321391,0.0368848,31.6964,-29.545
98.5999,2.10428,0.318354,-0.0491629,31.3897,-29.2854
100.922,2.88962,0.395814,-0.0315321,39.9462,-37.0565
102.993,3.73722,0.468292,0.0178441,48.2306,-44.4934
101.82,3.16555,0.424569,0.0334438,43.2294,-40.0639
102.603,3.46086,0.451719,0.0218723,46.3479,-42.887
101.528,2.94876,0.410617,0.0379795,41.689,-38.7402
101.008,2.6934,0.389598,0.0213247,39.3524,-36.659
99.964,2.26184,0.349166,0.022057,34.9041,-32.6422
98.9794,1.89273,0.311219,0.0201477,30.8043,-28.9115
97.9892,1.56152,0.27383,0.0139186,26.8324,-25.2709
99.2492,1.89008,0.315366,0.0415183,31.2998,-29.4097
99.3832,1.8879,0.317447,0.0241414,31.5489,-29.661
100.44,2.19641,0.354662,0.045155,35.6224,-33.426
100.521,2.17631,0.355179,0.0441435,35.7028,-33.5265
100.298,2.04981,0.343766,0.0381877,34.4791,-32.4293
100.985,2.24465,0.368446,0.0425806,37.2077,-34.963
101.556,2.40888,0.389324,-0.0147483,39.5383,-37.1294
99.8507,1.75594,0.317015,-0.146027,31.6542,-29.8982
96.7569,0.918202,0.200158,-0.145249,19.3667,-18.4485
100.052,1.7212,0.318433,0.044427,31.8599,-30.1388
100.524,1.82404,0.334652,0.0483463,33.6406,-31.8166
100.838,1.87767,0.344743,0.0496361,34.7633,-32.8857
101.171,1.93926,0.355993,-0.0413413,36.016,-34.0767
103.27,2.72451,0.449515,0.0579287,46.4214,-43.6969
103.4,2.72061,0.453763,-0.198013,46.919,-44.1984
106.708,4.41536,0.609583,0.0539828,65.0474,-60.632
106.164,4.02384,0.585016,0.0258483,62.1078,-58.0839
107.389,4.70852,0.643288,0.0355435,69.0819,-64.3734
108.414,5.32634,0.691383,-0.0234654,74.9559,-69.6296
110.335,6.67058,0.773003,0.0300163,85.2892,-78.6186
109.148,5.71506,0.72928,0.0384523,79.5993,-73.8842
108.102,4.90652,0.685629,-0.0240555,74.1178,-69.2113
106.166,3.59647,0.589435,0.0708685,62.578,-58.9815
106.205,3.54263,0.592604,-0.152468,62.9376,-59.3949
103.404,2.02951,0.429519,0.0662304,44.4142,-42.3847
103.956,2.19591,0.459698,0.0312007,47.7883,-45.5924
102.786,1.62232,0.384275,0.0452168,39.4981,-37.8758
103.845,1.98008,0.446979,0.0646685,46.4163,-44.4362
103.176,1.61236,0.399204,-0.154794,41.1884,-39.5761
100.551,0.715211,0.229677,0.0470997,23.0943,-22.3791
101.523,0.889014,0.277146,-0.241168,28.1366,-27.2476
104.675,2.00109,0.494206,0.0945352,51.731,-49.7299
104.412,1.77173,0.471269,0.0689493,49.2063,-47.4346
