Results
Stock Price,Option Prices,Implied Volatality,Delta,Hedging Error,Wealth without Hedge,Wealth with Hedge
532.44,44.2,0.264893,0.722507,0,44.2,0
535.36,46.9,0.274658,0.733278,-0.59028,41.584,0
546.6,55.3,0.275391,0.787477,-0.157953,33.2671,-0.59028
531.99,43.95,0.27417,0.719312,-0.155042,44.6737,-0.157953
527.28,41,0.281738,0.691473,-0.437959,47.6996,-0.155042
534.01,46.4,0.292969,0.722715,-0.746384,42.3855,-0.437959
538.26,49.3,0.293457,0.745012,0.17154,39.5533,-0.746384
528.94,41.15,0.27832,0.706848,1.20649,47.7627,0.17154
597.62,99.65,0.288086,0.940658,-9.95371,-10.6657,1.20649
594.94,97.65,0.307617,0.926348,-0.520963,-8.6817,-9.95371
602.55,103.8,0.272949,0.96012,0.899506,-14.8465,-0.520963
595.35,97.8,0.307617,0.931609,-0.912867,-8.87467,0.899506
606.99,108.15,0.283203,0.963983,0.49393,-19.2424,-0.912867
618.23,118.7,0.255859,0.985701,0.28517,-29.8309,0.49393
618.98,119.95,0.302734,0.97133,-0.510724,-31.1406,0.28517
622.52,123.25,0.294922,0.978544,0.13851,-34.506,-0.510724
607.22,108.65,0.313477,0.957638,-0.37173,-19.9784,0.13851
610.94,112.1,0.311523,0.964924,0.112414,-23.4704,-0.37173
603.69,106.8,0.381348,0.924568,-1.6957,-18.2173,0.112414
606.77,107.65,0.294922,0.971072,1.99767,-19.1074,-1.6957
592.4,95.05,0.350098,0.92564,-1.3543,-6.53988,1.99767
601.17,103.3,0.358887,0.939615,-0.132133,-14.8003,-1.3543
577.52,83.35,0.40918,0.866234,-2.2719,5.1319,-0.132133
579.04,85.2,0.429688,0.863707,-0.533325,3.28754,-2.2719
546.02,61.8,0.49707,0.733447,-5.11961,26.6915,-0.533325
573.41,77.45,0.37207,0.886276,4.43912,11.0708,-5.11961
549.01,60.7,0.456055,0.765283,-4.87513,27.8308,4.43912
562.13,69.15,0.42334,0.832112,1.59051,19.4086,-4.87513
563.77,70.4,0.429199,0.839242,0.114664,18.18,1.59051
557.23,62.7,0.384277,0.844261,2.21136,25.9018,0.114664
539,47.35,0.379395,0.770784,-0.0408817,41.2829,2.21136
533.15,41.8,0.365234,0.750559,1.04091,46.8824,-0.0408817
504.88,26.9,0.442871,0.556171,-6.3183,61.8293,1.04091
490.92,19.35,0.447021,0.462935,-0.21415,69.4411,-6.3183
498.17,20.5,0.414062,0.508065,2.20628,68.3536,-0.21415
518.82,30.65,0.387207,0.665717,0.341537,58.272,2.20628
523.29,33.85,0.40332,0.695858,-0.224247,55.1361,0.341537
520.04,33.35,0.456055,0.662693,-1.76154,55.6912,-0.224247
526.86,34.9,0.395996,0.734753,2.96957,54.1914,-1.76154
539.08,43.05,0.369629,0.834934,0.828678,46.0901,2.96957
540.7,44.6,0.393066,0.839997,-0.197406,44.5816,0.828678
540.96,43.1,0.339844,0.88444,1.7184,46.1262,-0.197406
532.5,36.6,0.387695,0.81504,-0.982359,52.6723,1.7184
524.84,29.25,0.364746,0.782018,1.1068,60.075,-0.982359
522.18,27.25,0.391602,0.757472,-0.0801679,62.1531,1.1068
534.03,35.65,0.356445,0.889733,0.576046,53.8214,-0.0801679
534.96,37.25,0.442383,0.86781,-0.772549,52.286,0.576046
524.85,28.7,0.487305,0.794179,-0.22356,60.8935,-0.772549
530.12,31,0.392578,0.917331,1.88532,58.6605,-0.22356
529.52,30.05,0.421875,0.938858,0.399601,59.6692,1.88532
532.07,32.85,0.691406,0.926357,-0.405911,56.9229,0.399601
542.56,41.9,-1,0,0.66748,47.9298,-0.405911
Cumulative Hedging Error,-14.1593
